Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
6cef36d23a0e225c36e727815553c60225b066f9,Add a test for cartesian join; cosmetic changes to conform to project style.,['f1e267029736af9d108f9f13b2849e939e13ca18'],False,"['AbstractEnumerable2.java', 'DefaultEnumerable.java', 'DefaultQueryable.java', 'ExtendedEnumerable.java', 'ExtendedQueryable.java', 'Extensions.java', 'QueryProvider.java', 'BinaryExpression.java', 'BlockExpression.java', 'CallSiteBinder.java', 'CatchBlock.java', 'ConditionalExpression.java', 'ConstantExpression.java', 'DefaultExpression.java', 'DynamicExpression.java', 'ElementInit.java', 'Expression.java', 'ExpressionType.java', 'ExpressionVisitor.java', 'Expressions.java', 'GotoExpression.java', 'IndexExpression.java', 'InvocationExpression.java', 'LabelExpression.java', 'LabelTarget.java', 'ListInitExpression.java', 'LoopExpression.java', 'MemberAssignment.java', 'MemberBinding.java', 'MemberExpression.java', 'MemberInitExpression.java', 'MemberListBinding.java', 'MemberMemberBinding.java', 'MethodCallExpression.java', 'NewArrayExpression.java', 'NewExpression.java', 'ParameterExpression.java', 'SwitchCase.java', 'SwitchExpression.java', 'TryExpression.java', 'TypeBinaryExpression.java', 'UnaryExpression.java', 'package-info.java', 'BigDecimalFunction1.java', 'DoubleFunction1.java', 'EqualityComparer.java', 'FloatFunction1.java', 'Function0.java', 'IntegerFunction1.java', 'LongFunction1.java', 'NullableBigDecimalFunction1.java', 'NullableDoubleFunction1.java', 'NullableFloatFunction1.java', 'NullableIntegerFunction1.java', 'NullableLongFunction1.java', 'package-info.java', 'package-info.java', 'Linq4jTest.java']"
fdfce20aeb06eb6201bbf138abe4504898215d30,More work on expressions; still broken.,['eecfcbb3bba4fd034ee9090cafa683d61154dc3c'],False,"['DefaultEnumerable.java', 'ExtendedEnumerable.java', 'Extensions.java', 'BinaryExpression.java', 'BlockExpression.java', 'ConditionalExpression.java', 'ConstantExpression.java', 'DefaultExpression.java', 'DynamicExpression.java', 'Expression.java', 'ExpressionCompiler.java', 'Expressions.java', 'FunctionExpression.java', 'GotoExpression.java', 'IndexExpression.java', 'InvocationExpression.java', 'LabelExpression.java', 'LambdaExpression.java', 'ListInitExpression.java', 'LoopExpression.java', 'MemberExpression.java', 'MemberInitExpression.java', 'MethodCallExpression.java', 'NewArrayExpression.java', 'NewExpression.java', 'ParameterExpression.java', 'SwitchExpression.java', 'TryExpression.java', 'TypeBinaryExpression.java', 'UnaryExpression.java', 'Linq4jTest.java']"
9c1088980c4cc27cd65b9c7bcd0fa7a0213098d2,Fix formatting; fix logic (takeWhile should stop after predicate returns false); implement skip & skipWhile.,['46bbb71867428b6ce2906a89e0a2492c6e879805'],False,"['README.md', 'DefaultEnumerable.java', 'DefaultQueryable.java', 'EnumerableQueryable.java', 'ExtendedEnumerable.java', 'ExtendedQueryable.java', 'Extensions.java', 'Expressions.java', 'Functions.java', 'Linq4jTest.java']"
a7bfd2544326319d9bd0973a25c7c067a131cc21,Cosmetic changes.,['99785f20ca32248578829c10445faa4dc7d21a2e'],False,"['Demo.java', 'JdbcExample.java', 'IterCalcRel.java', 'OJRexImplementorTableImpl.java', 'PushProjector.java', 'RelOptNode.java', 'CompoundParallelTupleIter.java', 'ExtraSqlTypes.java', 'SqlValidatorImpl.java', 'ConcurrentTestCommandGenerator.java', 'ConcurrentTestCommandScript.java', 'SamplePlugin.java', 'BitString.java', 'NlsString.java', 'RhBase64.java', 'AbstractResultSet.java']"
19ec58439f0a078baee77f06da78f678dac19453,Fix for API changes in janino-2.6.1.,['2c4f68cd802f1def47115cc235666a6afd115737'],False,['JaninoCompiler.java']
8d5dd1ce359fd8d8b7f4b622d28c0a24ce79427e,"Support for GROUP BY. Add rule and rel for aggregation implemented by generating code that implements Enumerable. (Not fully working.)

Match changes to linq4j for array-access.",['19ec58439f0a078baee77f06da78f678dac19453'],False,"['OptiqPrepareImpl.java', 'JavaRules.java', 'RexToLixTranslator.java', 'Executable.java', 'JdbcTest.java']"
2ef1b05445c115f5a96b34344a3ef76ded5faa3e,Implement UNION. (Queries can plan but currently run into a bug while implementing them.),['4e36baf82656844e0648f6bf04bbb219188cf23e'],False,"['OptiqPrepareImpl.java', 'JavaRules.java', 'IterConcatenateRel.java', 'IntersectRel.java', 'MinusRel.java', 'SetOpRel.java', 'UnionRel.java', 'JdbcTest.java']"
f2adf52adfd1cc88dbca650361641874f9c5de12,Introduce Visitor for expressions (not complete; still compile errors).,['8faca567e880995c007371e73bb25290ee7e486c'],False,"['BinaryExpression.java', 'BlockBuilder.java', 'BlockExpression.java', 'ConditionalStatement.java', 'ConstantExpression.java', 'DeclarationExpression.java', 'DefaultExpression.java', 'DynamicExpression.java', 'Expression.java', 'Expressions.java', 'FunctionExpression.java', 'GotoExpression.java', 'IndexExpression.java', 'LabelExpression.java', 'LambdaExpression.java', 'LoopExpression.java', 'MemberExpression.java', 'MethodCallExpression.java', 'Node.java', 'ParameterExpression.java', 'Statement.java', 'UnaryExpression.java', 'Visitor.java', 'WhileExpression.java']"
5bd484360599be816823914b462d412be8f11fb5,Fix CheapestPlanReplacer to not mutate RelNodes.,['2ef1b05445c115f5a96b34344a3ef76ded5faa3e'],False,"['RexToLixTranslator.java', 'RelSubset.java']"
5e69b0651572000233535215d084fcb7843d6eb7,"Union & concat almost work, except for a bug in the cursor.",['5bd484360599be816823914b462d412be8f11fb5'],False,"['JavaRules.java', 'ArrayEnumeratorCursor.java']"
